Id,Date,Transaction
1248,7/10,+23.88
1249,7/15,+71.29
1250,8/12,-13.43
1251,7/15,+88.33
1252,7/3,+85.46
1253,7/5,-45.40
1254,8/2,+21.04
1255,8/2,-15.16
1256,8/7,+62.64
1257,8/29,-58.00
1258,7/23,+84.42
1259,8/8,-40.08
1260,7/29,+17.94
1261,8/5,-72.72
1262,7/30,+83.21
1263,7/8,+67.21
1264,7/31,-91.73
1265,8/4,-22.82
1266,8/3,-70.92
1267,8/23,-32.72
1268,7/15,-47.47
1269,8/16,-4.49
1270,7/23,+40.04
1271,7/27,+29.49
1272,7/4,+65.23
1273,8/22,+61.54
1274,7/5,-81.08
1275,7/8,-68.62
1276,8/25,-94.81
1277,7/10,-25.70
1278,8/7,-13.70
1279,8/21,-83.41
1280,7/11,+97.05
1281,7/22,+52.67
1282,8/24,+98.02
1283,8/16,+99.09
1284,8/21,-31.30
1285,7/2,-11.13
1286,7/5,-95.91
1287,8/30,+17.53
1288,7/18,-99.54
1289,7/3,+31.19
1290,7/28,+98.50
1291,8/18,-52.89
1292,8/27,+8.49
1293,8/20,+62.37
1294,8/14,+64.40
1295,7/10,+67.00
1296,7/9,+18.52
1297,7/23,+22.13
1298,8/6,+13.31
1299,7/16,-76.79
1300,7/16,-93.05
1301,7/21,-14.07
1302,8/27,-62.72
1303,7/7,+39.85
1304,7/26,+45.86
1305,7/9,-54.73
1306,7/19,+18.78
1307,8/26,+44.94
1308,8/10,+42.78
1309,7/31,+27.14
1310,8/17,-75.41
1311,7/5,-9.23
1312,8/23,-30.48
1313,8/22,+10.36
1314,8/16,-95.64
1315,7/17,-61.45
1316,7/12,-23.42
1317,7/25,-57.26
1318,8/17,-88.99
1319,7/8,-20.93
1320,7/2,-37.37
1321,7/10,+77.63
1322,7/20,+75.37
1323,7/11,+34.81
1324,8/15,-8.65
1325,7/26,-1.65
1326,8/28,-47.61
1327,8/26,-32.12
1328,7/26,+68.90
1329,8/9,+93.83
1330,7/29,+95.88
1331,8/11,+77.26
1332,7/7,-14.78
1333,7/3,+84.10
1334,7/15,-31.41
1335,8/8,-33.41
1336,6/30,-2.60
1337,7/19,+96.38
1338,7/25,-52.34
1339,8/31,+15.29
1340,8/8,+32.51
1341,7/25,-89.50
1342,7/24,-85.73
1343,7/28,-4.20
1344,7/1,-93.35
1345,7/21,-97.36
1346,8/13,+88.21
1347,8/28,+54.15
1348,8/12,-75.72
1349,8/7,+39.02
1350,7/15,+90.23
1351,8/30,+2.38
1352,7/15,+85.57
1353,7/12,-98.47
1354,8/21,-94.45
1355,8/10,-3.51
1356,8/20,-10.35
1357,8/9,-2.82
1358,8/8,-51.21
1359,8/2,+72.36
1360,7/18,-14.57
1361,7/2,+80.06
1362,8/24,-70.55
1363,7/18,-44.81
1364,7/12,-28.26
1365,8/12,-68.73
1366,8/13,-21.31
1367,8/1,+27.88
1368,8/28,-3.55
1369,8/12,-49.07
1370,8/27,+34.54
1371,8/11,-1.38
1372,8/18,-67.98
1373,7/9,-17.99
1374,7/14,-86.40
1375,7/14,+40.34
1376,8/19,+7.80
1377,7/14,+92.21
1378,8/27,+3.80
1379,7/17,-13.95
1380,7/8,+36.46
1381,8/8,-46.76
1382,8/10,+43.90
1383,7/26,-78.64
1384,7/5,+18.01
1385,7/18,+29.65
1386,7/7,+67.31
1387,7/15,-54.50
1388,7/25,-44.77
1389,7/14,+5.05
1390,7/16,-44.50
1391,7/17,+18.57
1392,7/24,+18.95
1393,7/2,-38.69
1394,7/15,-70.49
1395,8/15,-58.48
1396,8/6,-44.08
1397,8/2,+84.20
1398,7/20,-66.94
1399,7/7,-82.34
1400,8/29,-83.47
1401,7/4,+66.33
1402,7/1,-72.10
1403,7/18,-55.80
1404,8/1,-77.42
1405,7/10,-86.29
1406,7/1,+44.57
1407,8/21,-12.01
1408,8/17,-72.94
1409,8/8,+49.82
1410,7/3,+67.42
1411,8/23,-37.77
1412,7/26,-59.79
1413,7/11,+49.79
1414,7/7,+1.28
1415,8/14,-4.54
1416,8/31,+84.09
1417,8/29,+19.81
1418,8/8,-93.16
1419,7/19,+6.34
1420,8/18,+25.73
1421,8/24,-41.90
1422,7/16,+0.18
1423,8/21,-51.78
1424,8/12,+12.90
1425,7/4,+71.08
1426,8/29,-0.54
1427,7/20,-97.25
1428,7/24,-3.34
1429,8/10,+3.98
1430,7/3,-37.23
1431,7/7,+38.04
1432,7/15,+1.54
1433,8/15,-71.56
1434,7/30,-1.30
1435,8/1,-19.15
1436,7/15,-0.66
1437,8/11,-76.05
1438,8/31,+58.58
1439,7/26,-40.82
1440,7/27,+87.65
1441,8/12,+34.40
1442,7/23,+96.58
1443,7/9,-59.27
1444,7/1,+29.41
1445,8/16,+23.57
1446,8/10,-20.32
1447,8/11,+69.99
1448,8/9,-37.35
1449,8/7,-24.17
1450,8/21,-8.35
1451,7/6,+27.20
1452,7/20,+86.76
1453,8/21,+29.96
1454,7/28,-53.41
1455,7/18,-72.09
1456,7/8,+84.94
1457,7/8,-26.03
1458,7/27,+65.56
1459,7/20,-63.58
1460,7/29,+73.02
1461,8/17,+88.83
1462,7/16,+77.89
1463,8/4,+61.83
1464,8/29,-15.88
1465,8/21,-21.69
1466,7/22,+21.55
1467,8/1,+92.15
1468,7/24,+5.74
1469,7/1,-53.32
1470,8/2,+61.98
1471,8/30,-99.39
1472,7/30,+65.15
1473,7/7,-10.07
1474,7/29,-38.94
1475,7/13,+85.37
1476,7/9,+82.30
1477,8/6,-64.77
1478,7/28,+0.39
1479,7/18,+49.98
1480,7/1,-15.06
1481,7/16,-77.20
1482,7/10,+30.91
1483,7/21,-69.01
1484,7/4,-29.02
1485,7/31,-35.08
1486,8/30,+89.71
1487,8/17,+66.16
1488,7/10,+63.85
1489,8/9,+60.87
1490,8/9,-66.33
1491,8/7,+61.68
1492,8/23,-55.38
1493,7/13,-61.66
1494,8/24,-22.40
1495,8/6,+46.30
1496,7/6,+58.73
1497,8/28,-94.04
1498,7/12,+32.54
1499,8/6,-95.29
1500,7/30,+60.07
1501,8/28,+33.52
1502,8/14,+40.56
1503,7/15,-72.00
1504,7/6,-66.06
1505,7/21,-98.73
1506,7/15,+0.97
1507,7/25,-18.03
1508,7/1,-56.14
1509,7/10,-26.41
1510,7/9,-1.50
1511,7/13,+62.29
1512,8/3,+35.28
1513,8/11,+81.84
1514,7/10,-86.77
1515,8/1,+26.09
1516,7/27,+55.26
1517,8/13,-87.91
1518,8/10,-3.54
1519,8/18,-92.51
1520,8/5,-91.47
1521,7/24,-49.44
1522,7/22,+67.28
1523,8/4,-14.09
1524,8/19,+12.33
1525,8/22,-61.91
1526,8/3,+28.70
1527,7/7,-32.98
1528,8/13,+87.72
1529,8/29,+40.65
1530,8/19,-60.07
1531,7/14,+3.97
1532,7/8,-41.29
1533,8/4,-31.45
1534,7/22,-27.70
1535,8/26,-62.91
1536,7/21,-71.78
1537,7/30,-61.06
1538,7/12,+12.63
1539,8/10,+4.18
1540,7/25,+64.88
1541,8/27,+19.24
1542,7/6,+17.24
1543,8/22,-63.23
1544,7/15,+43.42
1545,8/16,-60.96
1546,7/27,+67.03
1547,7/12,+2.44
1548,7/25,+38.63
1549,8/29,-14.79
1550,7/25,-42.72
1551,7/5,-10.20
1552,7/28,-36.43
1553,7/9,+72.98
1554,7/13,-37.90
1555,7/20,+28.25
1556,7/2,+10.84
1557,7/17,-59.37
1558,7/18,-45.93
1559,8/7,-24.52
1560,7/3,-16.24
1561,8/5,+45.80
1562,8/26,+32.60
1563,7/16,+48.18
1564,8/28,-61.06
1565,7/11,+82.60
1566,7/27,-59.39
1567,8/3,-61.74
1568,8/18,+8.70
1569,8/25,+54.29
1570,8/12,+64.21
1571,8/12,-50.37
1572,8/29,-67.71
1573,8/27,-25.30
1574,7/24,-1.51
1575,7/6,+64.71
1576,7/7,-33.96
1577,7/16,-98.30
1578,8/21,-49.97
1579,7/4,-81.06
1580,8/2,-58.33
1581,7/20,+85.85
1582,7/23,+21.36
1583,8/28,-60.29
1584,8/26,+5.45
1585,8/27,-58.64
1586,8/14,-17.59
1587,8/3,+20.80
1588,8/27,+53.07
1589,8/10,-85.64
1590,7/16,-26.53
1591,7/4,+68.96
1592,7/18,+7.65
1593,8/27,+30.22
1594,8/23,-2.56
1595,7/20,+51.68
1596,8/24,-17.44
1597,7/27,+66.36
1598,7/13,+89.28
1599,8/26,+44.48
1600,8/11,-59.30
1601,7/7,+86.18
1602,8/13,-81.53
1603,8/5,+58.24
1604,8/7,-3.55
1605,8/10,-18.40
1606,8/1,+53.88
1607,7/23,+28.19
1608,7/22,+60.32
1609,7/3,-70.28
1610,8/5,-71.83
1611,7/30,+29.31
1612,8/14,-85.18
1613,8/14,+85.00
1614,8/25,-6.33
1615,7/5,-50.70
1616,7/27,-61.96
1617,8/4,+17.77
1618,7/5,+48.33
1619,7/1,+91.71
1620,8/26,+44.65
1621,8/3,+55.20
1622,7/13,-19.63
1623,7/21,+7.54
1624,8/15,+72.74
1625,7/11,+21.28
1626,7/17,+77.57
1627,7/31,+25.40
1628,7/27,-2.11
1629,7/2,-65.87
1630,7/16,-13.32
1631,7/9,+77.20
1632,8/8,-43.89
1633,8/31,+21.31
1634,7/17,-56.54
1635,7/9,+49.68
1636,8/2,+36.74
1637,7/6,-26.86
1638,7/27,+37.23
1639,8/9,+62.03
1640,7/6,-70.73
1641,8/27,+25.30
1642,7/23,+87.35
1643,7/6,+77.05
1644,7/23,+45.35
1645,7/12,+62.76
1646,8/26,+38.34
1647,8/19,+97.91
1648,8/22,+84.99
1649,8/12,-83.67
1650,7/15,+17.99
1651,7/19,-88.76
1652,7/13,-41.88
1653,7/16,-52.70
1654,7/23,-24.52
1655,8/20,+31.68
1656,8/4,+46.19
1657,7/28,-6.28
1658,7/19,+99.01
1659,8/14,-87.59
1660,6/30,+17.76
1661,8/1,-65.51
1662,7/8,-77.28
1663,7/31,-22.46
1664,8/23,-73.17
1665,8/5,-2.43
1666,7/17,+29.72
1667,8/20,-29.63
1668,7/15,-52.63
1669,7/2,+35.06
1670,7/11,-21.18
1671,8/24,+69.52
1672,7/25,+78.54
1673,8/26,+31.02
1674,7/1,+56.88
1675,8/24,+50.92
1676,8/6,+2.84
1677,7/30,+62.08
1678,7/10,+90.95
1679,7/7,+31.89
1680,7/16,+6.95
1681,8/13,+24.68
1682,7/2,-69.32
1683,7/17,+83.52
1684,8/30,+5.14
1685,8/23,-45.15
1686,7/1,+82.17
1687,8/5,-10.90
1688,8/20,+14.69
1689,8/23,+49.16
1690,7/9,+35.99
1691,8/25,-42.44
1692,8/15,-80.07
1693,8/4,-70.50
1694,7/19,+44.42
1695,8/18,-22.76
1696,8/6,+48.83
1697,8/12,+83.95
1698,8/25,+43.14
1699,8/10,+9.16
1700,7/30,+7.11
1701,8/20,+19.48
1702,7/3,+50.39
1703,7/11,-18.61
1704,8/5,-73.91
1705,8/9,-72.03
1706,7/30,-19.93
1707,8/12,-21.35
1708,8/7,+66.22
1709,7/5,-22.30
1710,8/16,+72.04
1711,8/6,+29.34
1712,7/28,+77.12
1713,8/8,+12.87
1714,7/16,+97.96
1715,7/10,+81.36
1716,8/15,+4.92
1717,7/18,+63.24
1718,8/20,-7.61
1719,7/27,+22.58
1720,8/12,-67.29
1721,8/14,+32.05
1722,8/27,+45.34
1723,7/20,+63.37
1724,7/12,-78.02
1725,7/25,-59.30
1726,8/19,-77.62
1727,8/24,-69.14
1728,7/1,-45.44
1729,7/19,-57.19
1730,8/31,+47.37
1731,8/11,-98.24
1732,7/1,-61.86
1733,8/16,-91.47
1734,7/28,+97.58
1735,7/24,-43.34
1736,7/16,+3.45
1737,7/3,-87.58
1738,7/3,+44.72
1739,8/3,+15.12
1740,7/30,-20.66
1741,8/21,+36.78
1742,7/19,+87.14
1743,7/10,-2.51
1744,8/23,-39.30
1745,7/14,+9.16
1746,7/24,-28.64
1747,8/18,-19.14
1748,7/27,+24.08
1749,7/12,+71.06
1750,7/5,-57.15
1751,7/14,-75.16
1752,7/17,-64.10
1753,8/17,+87.52
1754,7/11,+22.50
1755,8/16,-79.27
1756,7/2,+72.90
1757,7/13,+19.43
1758,7/3,-28.31
1759,8/29,-58.05
1760,8/2,+80.17
1761,7/15,+91.20
1762,7/13,-24.01
1763,7/2,+78.04
1764,8/29,-0.45
1765,8/11,+19.24
1766,8/13,-70.50
1767,8/23,+91.98
1768,8/28,-43.87
1769,7/2,+40.45
1770,7/28,-75.36
1771,7/11,-33.77
1772,8/8,+89.40
1773,7/12,+66.61
1774,8/4,+67.88
1775,7/13,-54.61
1776,8/6,+13.37
1777,8/23,+62.77
1778,8/6,+83.18
1779,8/16,-29.30
1780,7/12,-63.64
1781,8/22,-81.79
1782,7/27,-71.09
1783,8/26,-63.15
1784,8/3,+91.92
1785,8/13,-0.99
1786,8/19,-75.03
1787,7/24,-58.22
1788,8/30,-18.75
1789,8/11,+84.09
1790,7/28,-19.29
1791,8/18,+29.62
1792,7/7,+3.21
1793,7/13,-85.71
1794,7/12,-15.42
1795,7/11,-9.35
1796,8/22,+7.50
1797,7/8,+86.99
1798,8/10,+78.58
1799,8/28,-34.58
1800,7/29,-60.22
1801,8/3,+4.63
1802,7/27,+36.07
1803,7/17,-92.59
1804,7/3,-82.56
1805,7/18,+75.00
1806,7/22,-44.60
1807,7/27,-93.00
1808,8/5,-43.86
1809,7/29,+62.08
1810,8/21,+72.36
1811,8/30,-60.53
1812,8/13,-13.55
1813,7/13,-32.85
1814,7/23,-34.21
1815,7/19,+94.42
1816,8/29,-39.18
1817,7/7,-1.53
1818,7/16,+85.08
1819,7/18,-10.22
1820,8/3,-48.00
1821,7/18,+18.93
1822,8/19,-47.62
1823,8/26,-10.60
1824,8/5,-3.01
1825,8/28,+20.03
1826,8/31,-39.13
1827,8/21,-91.87
1828,7/3,-49.58
1829,8/14,-41.92
1830,8/11,-89.68
1831,8/28,-18.10
1832,8/7,-67.64
1833,7/31,+35.72
1834,8/10,+16.16
1835,7/11,-98.67
1836,7/11,-11.75
1837,7/6,+76.80
1838,8/15,-2.44
1839,7/16,-78.29
1840,8/12,+76.73
1841,8/7,+64.57
1842,8/8,-96.52
1843,8/7,-7.31
1844,7/2,-88.89
1845,8/4,+0.50
1846,7/31,+19.93
1847,7/17,+6.18
1848,7/2,+51.32
1849,8/4,-99.17
1850,8/9,-42.70
1851,7/12,-59.65
1852,7/16,-16.64
1853,8/11,-5.76
1854,8/25,-76.30
1855,8/29,-63.84
1856,7/10,+79.17
1857,8/3,-68.36
1858,8/28,-56.64
1859,8/24,-19.45
1860,8/13,-73.14
1861,8/16,+90.31
1862,8/13,-0.43
1863,8/4,+32.56
1864,8/26,-63.24
1865,7/17,-65.77
1866,8/30,+89.05
1867,7/30,-79.12
1868,8/11,+72.29
1869,8/13,-26.26
1870,8/10,-40.89
1871,8/28,-26.36
1872,8/30,-75.26
1873,7/12,+26.66
1874,8/27,-49.15
1875,7/1,-67.30
1876,8/22,-47.57
1877,7/21,-15.61
1878,8/8,+28.25
1879,8/27,-62.54
1880,7/5,-34.96
1881,8/20,-51.95
1882,7/26,-45.74
1883,7/16,+14.82
1884,7/11,-37.56
1885,7/24,+48.26
1886,7/24,+60.95
1887,7/28,-69.30
1888,7/14,+27.28
1889,8/2,+87.72
1890,8/2,+0.16
1891,8/7,-28.57
1892,7/12,-45.90
1893,7/12,-91.34
1894,7/27,+65.92
1895,8/7,+36.64
1896,8/9,-91.39
1897,7/30,+19.18
1898,7/22,-0.49
1899,8/23,+58.90
1900,8/15,-66.18
1901,7/13,-60.06
1902,8/13,+56.92
1903,7/1,+28.86
1904,7/29,-32.44
1905,8/24,+26.05
1906,8/30,+87.62
1907,8/4,-65.30
1908,7/18,-52.91
1909,7/31,-32.62
1910,8/17,+36.94
1911,8/21,-15.69
1912,7/16,+37.61
1913,8/8,+27.91
1914,7/18,+92.37
1915,7/29,+0.86
1916,7/25,-31.22
1917,8/21,-59.60
1918,7/11,-45.70
1919,7/23,+7.83
1920,8/13,-21.86
1921,8/8,-65.06
1922,8/20,+16.70
1923,7/9,-43.46
1924,7/20,+95.94
1925,8/31,+98.97
1926,7/22,+5.79
1927,8/27,-29.57
1928,7/20,-62.98
1929,7/12,-56.70
1930,8/25,-4.13
1931,8/17,-86.29
1932,8/22,-100.00
1933,7/24,-53.18
1934,7/13,-42.44
1935,7/15,-15.79
1936,7/22,+88.82
1937,8/14,-65.38
1938,8/10,+39.92
1939,7/7,-75.65
1940,7/21,+74.62
1941,8/24,+83.00
1942,8/7,-17.23
1943,8/11,-67.78
1944,7/23,-66.22
1945,8/31,-71.26
1946,8/24,-51.74
1947,8/30,-46.67
1948,7/19,-50.87
1949,7/21,-35.72
1950,8/14,-45.11
1951,8/6,+22.19
1952,7/3,-94.91
1953,7/21,-41.16
1954,8/1,+5.30
1955,7/15,+7.15
1956,8/16,-66.93
1957,8/8,+19.55
1958,7/12,+50.14
1959,8/21,+82.73
1960,7/27,+7.70
1961,7/27,-78.64
1962,7/15,+80.21
1963,7/7,+97.46
1964,8/10,+79.40
1965,7/6,+44.89
1966,8/11,-40.74
1967,8/22,+63.89
1968,7/17,-67.26
1969,8/25,-40.43
1970,7/8,+19.00
1971,8/3,-77.18
1972,7/8,-42.16
1973,8/21,+22.91
1974,7/5,+91.96
1975,7/21,+21.03
1976,8/4,+88.75
1977,8/30,-61.48
1978,7/15,+51.87
1979,7/5,+20.45
1980,8/7,-9.60
1981,7/13,-81.69
1982,8/31,-47.48
1983,8/17,+53.38
1984,8/20,-91.62
1985,7/27,+59.01
1986,8/18,+32.98
1987,8/18,+39.30
1988,8/6,+11.86
1989,7/21,-80.76
1990,8/2,-0.84
1991,7/4,+89.99
1992,8/8,+79.36
1993,7/7,+45.98
1994,7/22,+1.75
1995,7/1,-42.93
1996,8/8,-9.90
1997,7/2,+58.75
1998,7/17,-32.59
1999,7/27,-7.71
2000,8/1,-40.31
2001,7/26,+75.65
2002,8/25,+49.53
2003,7/8,-0.35
2004,7/7,-36.17
2005,8/13,-63.60
2006,8/15,+7.41
2007,8/1,-9.37
2008,7/2,-59.61
2009,7/7,-60.08
2010,7/15,+85.06
2011,8/29,-33.45
2012,7/8,+93.41
2013,7/25,+73.30
2014,7/28,-78.24
2015,8/17,+43.62
2016,8/1,+79.39
2017,7/28,-68.48
2018,8/17,-28.56
2019,7/28,+49.45
2020,8/3,+14.00
2021,8/11,+97.06
2022,7/10,+9.24
2023,7/29,+6.35
2024,7/3,+55.56
2025,7/18,+25.45
2026,7/2,-41.32
2027,8/4,-10.17
2028,8/3,+84.97
2029,8/8,+1.80
2030,8/5,+14.60
2031,7/24,+22.51
2032,8/6,-71.67
2033,7/23,+40.06
2034,8/19,+88.84
2035,8/14,-23.99
2036,8/29,-52.86
2037,8/24,-4.96
2038,7/14,-64.16
2039,8/19,-80.00
2040,7/29,+1.83
2041,8/8,+27.18
2042,7/31,-41.77
2043,8/24,-59.54
2044,7/5,-16.92
2045,8/28,+11.18
2046,8/10,+33.55
2047,8/15,-88.10
2048,8/7,+0.42
2049,8/4,+69.38
2050,7/9,-40.15
2051,7/6,+71.22
2052,8/1,-76.10
2053,7/20,-13.96
2054,7/23,+75.53
2055,7/17,+90.17
2056,7/24,+88.76
2057,7/2,+19.12
2058,8/27,+22.88
2059,7/10,+95.15
2060,7/6,-38.97
2061,7/1,-61.75
2062,7/26,+72.73
2063,8/17,-19.27
2064,8/26,+49.06
2065,8/26,+11.33
2066,7/5,-94.16
2067,8/10,+8.40
2068,7/20,-24.75
2069,7/12,+53.66
2070,7/13,+22.18
2071,8/27,-82.91
2072,7/2,-44.05
2073,8/20,-96.05
2074,8/6,+83.69
2075,7/9,+41.17
2076,7/22,+27.58
2077,7/17,+25.70
2078,8/9,-49.94
2079,7/8,+44.61
2080,8/15,+55.47
2081,8/26,+67.81
2082,7/27,+22.16
2083,7/11,+8.76
2084,7/19,+65.39
2085,8/4,+12.35
2086,7/21,-6.18
2087,7/1,+46.54
2088,7/18,+87.19
2089,8/2,-75.61
2090,8/29,+65.43
2091,8/27,-21.46
2092,7/15,-29.06
2093,7/3,+36.32
2094,7/19,-63.95
2095,7/10,-20.40
2096,7/13,+42.64
2097,7/7,+18.10
2098,8/11,-20.28
2099,8/19,+30.31
2100,7/4,-18.02
2101,7/29,+96.99
2102,7/5,-50.18
2103,8/19,+24.12
2104,8/10,+41.51
2105,8/30,+60.05
2106,8/11,+99.87
2107,7/17,-83.03
2108,8/7,-70.41
2109,8/29,-1.07
2110,8/13,+62.45
2111,8/6,-29.46
2112,7/26,+80.06
2113,7/16,+39.75
2114,8/4,+60.31
2115,7/26,+49.17
2116,7/31,+71.95
2117,7/9,-66.22
2118,7/7,-55.31
2119,7/17,+19.00
2120,7/30,+1.93
2121,8/7,-86.09
2122,8/10,+88.28
2123,7/9,+79.61
2124,8/22,-37.27
2125,7/12,-10.48
2126,8/31,-33.93
2127,8/8,-89.56
2128,8/1,+16.10
2129,8/17,-55.23
2130,7/27,+89.53
2131,8/5,-29.19
2132,7/14,+58.49
2133,7/22,-85.43
2134,8/31,+46.17
2135,7/3,-58.23
2136,8/15,+70.86
2137,7/9,-55.42
2138,7/20,-75.53
2139,7/28,-33.92
2140,7/1,+3.66
2141,7/11,-16.45
2142,8/14,-88.39
2143,8/23,-49.89
2144,7/6,+64.77
2145,7/31,+93.32
2146,8/21,+90.97
2147,7/14,+73.02
2148,7/12,-15.61
2149,8/7,+25.07
2150,7/13,-34.76
2151,7/4,+30.35
2152,7/7,-69.25
2153,7/18,-42.19
2154,8/3,+46.40
2155,7/9,+55.60
2156,7/13,-90.13
2157,8/12,-53.80
2158,7/7,-77.17
2159,8/13,-30.32
2160,7/31,-30.91
2161,8/23,-46.52
2162,7/15,-93.34
2163,7/13,+37.75
2164,8/16,+56.02
2165,8/18,+89.57
2166,8/27,+28.89
2167,7/16,+11.39
2168,8/14,+91.55
2169,7/12,-73.16
2170,7/15,+62.10
2171,8/11,+41.96
2172,8/5,-82.22
2173,8/12,-8.51
2174,8/11,-26.65
2175,7/17,+78.94
2176,7/29,-9.95
2177,8/17,-43.38
2178,7/12,-34.88
2179,7/4,-49.85
2180,7/30,-31.93
2181,7/23,-80.85
2182,8/13,-93.63
2183,7/12,+97.96
2184,8/23,-92.59
2185,7/2,-94.05
2186,8/30,-10.43
2187,8/27,+95.77
2188,7/9,+34.88
2189,8/10,+32.25
2190,7/27,+65.80
2191,8/5,-90.56
2192,7/22,-79.02
2193,7/30,+35.59
2194,7/2,-99.26
2195,8/18,+11.22
2196,8/24,-83.30
2197,7/1,+8.28
2198,8/11,+11.31
2199,7/5,-2.65
2200,8/27,+60.99
2201,7/12,+16.87
2202,7/27,+46.96
2203,7/22,+34.50
2204,8/10,+79.17
2205,7/26,-72.24
2206,7/13,-49.71
2207,7/8,-17.77
2208,8/15,+82.64
2209,7/9,-11.82
2210,8/13,-57.87
2211,8/9,+68.83
2212,8/1,-15.24
2213,7/16,-38.28
2214,8/24,-53.06
2215,7/24,+33.86
2216,7/25,-11.33
2217,7/12,+87.49
2218,8/12,+24.42
2219,8/10,-95.53
2220,7/7,+11.05
2221,7/29,+79.22
2222,8/19,+71.41
2223,7/31,+66.63
2224,7/16,-76.20
2225,7/2,+51.45
2226,8/29,+0.49
2227,7/14,+33.50
2228,8/16,-75.15
2229,7/22,-18.38
2230,7/24,+88.51
2231,7/1,+82.13
2232,7/16,+10.42
2233,8/7,+13.84
2234,8/21,+15.92
2235,7/3,-40.60
2236,7/23,-53.40
2237,7/12,-59.94
2238,8/5,-20.75
2239,7/13,-53.79
2240,7/18,+64.76
2241,8/8,-14.54
2242,7/27,-18.61
2243,7/13,-29.44
2244,7/16,+30.84
2245,7/9,+45.06
2246,7/11,+95.74
2247,8/2,-64.78
2248,7/26,+58.62
2249,8/24,+0.27
2250,8/16,+60.30
2251,7/4,+76.15
2252,8/14,-43.89
2253,7/30,+63.05
2254,8/18,+47.79
2255,7/31,-73.66
2256,8/25,-8.65
2257,8/18,+23.32
2258,7/16,+40.41
2259,8/6,+70.66
2260,7/10,-9.40
2261,7/4,-74.81
2262,7/19,-44.31
2263,7/28,-75.86
2264,7/11,-22.30
2265,8/22,-81.57
2266,8/21,-19.87
2267,8/3,-64.24
2268,8/9,+92.39
2269,8/14,-71.01
2270,8/24,-43.07
2271,8/3,-41.96
2272,7/16,-45.42
2273,8/19,-39.14
2274,8/2,-21.66
2275,8/1,+99.55
2276,8/1,-88.79
2277,7/1,-3.74
2278,7/7,-98.95
2279,8/12,+29.36
2280,8/21,+75.12
2281,7/18,+26.42
2282,8/15,+97.80
2283,7/5,-26.74
2284,7/2,-49.15
2285,7/28,+85.35
2286,8/1,+45.05
2287,8/17,+41.07
2288,7/4,+70.95
2289,8/11,-88.26
2290,8/1,+29.65
2291,8/8,-42.71
2292,8/23,+71.02
2293,8/27,-15.36
2294,7/3,+33.58
2295,8/26,-3.75
2296,7/12,-86.14
2297,8/19,+54.83
2298,7/7,-30.27
2299,8/3,-60.30
2300,7/2,+73.06
2301,8/22,+10.01
2302,8/23,+78.18
2303,7/20,+28.54
2304,8/28,+79.97
2305,8/3,-60.07
2306,8/31,-72.67
2307,8/17,+37.71
2308,7/25,+40.08
2309,8/28,+45.00
2310,7/25,-5.35
2311,8/13,-90.79
2312,7/27,-2.55
2313,8/22,-64.78
2314,7/14,+7.53
2315,7/10,-10.15
2316,8/11,-76.98
2317,8/2,-76.10
2318,8/19,-2.98
2319,8/30,+85.60
2320,7/3,-45.15
2321,8/2,+94.47
2322,8/5,-40.74
2323,7/26,+94.40
2324,8/16,-40.66
2325,8/7,-87.19
2326,7/2,+30.53
2327,7/30,-30.37
2328,8/29,+76.78
2329,8/24,+9.55
2330,8/25,-17.19
2331,8/22,-12.29
2332,8/29,+44.05
2333,7/18,+0.72
2334,7/18,-99.06
2335,7/11,+0.58
2336,7/24,+40.76
2337,7/24,+34.78
2338,8/19,+12.11
2339,7/21,+61.78
2340,7/26,+84.57
2341,8/13,+52.71
2342,7/1,+24.15
2343,8/2,-16.65
2344,8/26,+64.64
2345,7/23,-47.23
2346,7/22,-5.68
2347,7/13,+32.43
2348,8/6,+72.14
2349,8/8,-50.52
2350,7/31,-2.93
2351,7/14,-20.62
2352,7/23,+28.99
2353,7/24,-17.35
2354,8/21,-66.59
2355,7/19,-52.03
2356,7/12,-82.61
2357,7/3,-10.96
2358,8/9,-54.20
2359,8/22,+45.37
2360,8/13,-9.66
2361,7/14,+79.58
2362,7/28,-21.49
2363,8/18,-48.59
2364,8/19,+89.86
2365,8/18,+40.56
2366,7/14,+89.85
2367,8/14,+57.09
2368,8/3,+44.85
2369,7/19,+5.23
2370,8/28,-12.13
2371,8/12,-93.31
2372,7/12,-50.44
2373,8/3,-94.87
2374,7/15,+4.10
2375,8/1,-25.63
2376,8/4,-57.80
2377,7/4,-64.62
2378,7/31,+6.12
2379,8/2,-62.01
2380,7/10,+32.82
2381,7/29,+63.46
2382,8/24,+9.85
2383,7/9,+40.26
2384,8/12,+0.87
2385,8/3,-79.27
2386,7/20,+6.96
2387,8/16,+3.33
2388,7/26,-34.36
2389,8/6,+29.43
2390,8/31,+80.41
2391,7/22,-19.02
2392,7/5,-71.81
2393,7/29,-55.41
2394,8/2,-33.71
2395,8/10,-16.17
2396,7/22,-70.15
2397,8/5,+82.54
2398,7/24,+19.43
2399,8/20,+34.73
2400,7/13,-59.86
2401,8/5,-56.60
2402,7/28,-4.15
2403,7/2,-8.04
2404,7/2,-83.40
2405,8/5,-73.14
2406,8/11,+98.51
2407,8/10,+13.74
2408,8/9,-88.12
2409,7/1,-73.94
2410,8/11,-10.01
2411,7/31,-12.45
2412,8/31,+56.75
